location,year,month,day,hour,minutes,seconds,temperature(C)
studyroom,2017,8,20,3,47,37,20.63
studyroom,2017,8,20,3,48,38,20.63
studyroom,2017,8,20,3,49,39,20.63
studyroom,2017,8,20,3,50,40,20.63
studyroom,2017,8,20,3,51,40,20.63
studyroom,2017,8,20,3,52,41,20.56
studyroom,2017,8,20,3,53,42,20.63
studyroom,2017,8,20,3,54,43,20.63
studyroom,2017,8,20,3,55,44,20.63
studyroom,2017,8,20,3,56,45,20.63
studyroom,2017,8,20,3,57,46,20.56
studyroom,2017,8,20,3,58,46,20.56
studyroom,2017,8,20,3,59,47,20.56
studyroom,2017,8,20,4,0,48,20.56
studyroom,2017,8,20,4,1,49,20.56
studyroom,2017,8,20,4,2,50,20.56
studyroom,2017,8,20,4,3,51,20.56
studyroom,2017,8,20,4,4,52,20.56
studyroom,2017,8,20,4,5,52,20.56
studyroom,2017,8,20,4,6,53,20.56
studyroom,2017,8,20,4,7,54,20.56
studyroom,2017,8,20,4,8,55,20.56
studyroom,2017,8,20,4,9,56,20.50
studyroom,2017,8,20,4,10,57,20.56
studyroom,2017,8,20,4,11,58,20.56
studyroom,2017,8,20,4,12,59,20.50
studyroom,2017,8,20,4,13,59,20.50
studyroom,2017,8,20,4,15,0,20.50
studyroom,2017,8,20,4,16,1,20.50
studyroom,2017,8,20,4,17,2,20.50
studyroom,2017,8,20,4,18,3,20.50
studyroom,2017,8,20,4,19,4,20.50
studyroom,2017,8,20,4,20,5,20.50
studyroom,2017,8,20,4,21,5,20.50
studyroom,2017,8,20,4,22,6,20.50
studyroom,2017,8,20,4,23,7,20.50
studyroom,2017,8,20,4,24,8,20.50
studyroom,2017,8,20,4,25,9,20.50
studyroom,2017,8,20,4,26,10,20.44
studyroom,2017,8,20,4,27,11,20.50
studyroom,2017,8,20,4,28,12,20.50
studyroom,2017,8,20,4,29,13,20.50
studyroom,2017,8,20,4,30,13,20.50
studyroom,2017,8,20,4,31,14,20.50
studyroom,2017,8,20,4,32,15,20.50
studyroom,2017,8,20,4,33,16,20.50
studyroom,2017,8,20,4,34,17,20.50
studyroom,2017,8,20,4,35,18,20.44
studyroom,2017,8,20,4,36,19,20.50
studyroom,2017,8,20,4,37,20,20.44
studyroom,2017,8,20,4,38,21,20.44
studyroom,2017,8,20,4,39,22,20.44
studyroom,2017,8,20,4,40,22,20.44
studyroom,2017,8,20,4,41,23,20.44
studyroom,2017,8,20,4,42,24,20.44
studyroom,2017,8,20,4,43,25,20.44
studyroom,2017,8,20,4,44,26,20.44
studyroom,2017,8,20,4,45,27,20.44
studyroom,2017,8,20,4,46,28,20.44
studyroom,2017,8,20,4,47,29,20.44
studyroom,2017,8,20,4,48,30,20.44
studyroom,2017,8,20,4,49,31,20.44
studyroom,2017,8,20,4,50,32,20.44
studyroom,2017,8,20,4,51,33,20.44
studyroom,2017,8,20,4,52,34,20.38
studyroom,2017,8,20,4,53,34,20.38
studyroom,2017,8,20,4,54,35,20.38
studyroom,2017,8,20,4,55,36,20.44
studyroom,2017,8,20,4,56,37,20.44
studyroom,2017,8,20,4,57,38,20.44
studyroom,2017,8,20,4,58,39,20.38
studyroom,2017,8,20,4,59,40,20.38
studyroom,2017,8,20,5,0,41,20.38
studyroom,2017,8,20,5,1,42,20.38
studyroom,2017,8,20,5,2,43,20.38
studyroom,2017,8,20,5,3,44,20.38
studyroom,2017,8,20,5,4,45,20.38
studyroom,2017,8,20,5,5,45,20.38
studyroom,2017,8,20,5,6,46,20.38
studyroom,2017,8,20,5,7,47,20.38
studyroom,2017,8,20,5,8,48,20.31
studyroom,2017,8,20,5,9,49,20.38
studyroom,2017,8,20,5,10,50,20.38
studyroom,2017,8,20,5,11,51,20.38
studyroom,2017,8,20,5,12,52,20.38
studyroom,2017,8,20,5,13,53,20.31
studyroom,2017,8,20,5,14,54,20.31
studyroom,2017,8,20,5,15,55,20.31
studyroom,2017,8,20,5,16,56,20.31
studyroom,2017,8,20,5,17,57,20.31
studyroom,2017,8,20,5,18,58,20.31
studyroom,2017,8,20,5,19,59,20.31
studyroom,2017,8,20,5,21,0,20.31
studyroom,2017,8,20,5,22,0,20.31
studyroom,2017,8,20,5,23,1,20.31
studyroom,2017,8,20,5,24,2,20.31
studyroom,2017,8,20,5,25,3,20.31
studyroom,2017,8,20,5,26,4,20.31
studyroom,2017,8,20,5,27,5,20.31
studyroom,2017,8,20,5,28,6,20.31
studyroom,2017,8,20,5,29,7,20.31
studyroom,2017,8,20,5,30,8,20.31
studyroom,2017,8,20,5,31,9,20.31
studyroom,2017,8,20,5,32,10,20.31
studyroom,2017,8,20,5,33,11,20.31
studyroom,2017,8,20,5,34,12,20.31
studyroom,2017,8,20,5,35,13,20.31
studyroom,2017,8,20,5,36,14,20.25
studyroom,2017,8,20,5,37,15,20.25
studyroom,2017,8,20,5,38,16,20.25
studyroom,2017,8,20,5,39,17,20.25
studyroom,2017,8,20,5,40,18,20.25
studyroom,2017,8,20,5,41,19,20.25
studyroom,2017,8,20,5,42,20,20.25
studyroom,2017,8,20,5,43,21,20.19
studyroom,2017,8,20,5,44,22,20.25
studyroom,2017,8,20,5,45,23,20.25
studyroom,2017,8,20,5,46,24,20.19
studyroom,2017,8,20,5,47,25,20.19
studyroom,2017,8,20,5,48,26,20.19
studyroom,2017,8,20,5,49,27,20.19
studyroom,2017,8,20,5,50,28,20.19
studyroom,2017,8,20,5,51,29,20.19
studyroom,2017,8,20,5,52,30,20.19
studyroom,2017,8,20,5,53,31,20.19
studyroom,2017,8,20,5,54,32,20.19
studyroom,2017,8,20,5,55,33,20.19
studyroom,2017,8,20,5,56,34,20.19
studyroom,2017,8,20,5,57,35,20.19
studyroom,2017,8,20,5,58,36,20.19
studyroom,2017,8,20,5,59,37,20.19
studyroom,2017,8,20,6,0,38,20.19
studyroom,2017,8,20,6,1,39,20.19
studyroom,2017,8,20,6,2,40,20.19
studyroom,2017,8,20,6,3,41,20.19
studyroom,2017,8,20,6,4,42,20.13
studyroom,2017,8,20,6,5,43,20.13
studyroom,2017,8,20,6,6,44,20.13
studyroom,2017,8,20,6,7,45,20.13
studyroom,2017,8,20,6,8,46,20.13
studyroom,2017,8,20,6,9,47,20.13
studyroom,2017,8,20,6,10,48,20.13
studyroom,2017,8,20,6,11,49,20.13
studyroom,2017,8,20,6,12,50,20.13
studyroom,2017,8,20,6,13,51,20.13
studyroom,2017,8,20,6,14,52,20.13
studyroom,2017,8,20,6,15,53,20.13
studyroom,2017,8,20,6,16,54,20.13
studyroom,2017,8,20,6,17,55,20.13
studyroom,2017,8,20,6,18,56,20.13
studyroom,2017,8,20,6,19,57,20.13
studyroom,2017,8,20,6,20,58,20.13
studyroom,2017,8,20,6,21,59,20.13
studyroom,2017,8,20,6,23,0,20.13
studyroom,2017,8,20,6,24,1,20.13
studyroom,2017,8,20,6,25,2,20.13
studyroom,2017,8,20,6,26,3,20.13
studyroom,2017,8,20,6,27,4,20.13
studyroom,2017,8,20,6,28,5,20.13
studyroom,2017,8,20,6,29,7,20.13
studyroom,2017,8,20,6,30,8,20.13
studyroom,2017,8,20,6,31,9,20.13
studyroom,2017,8,20,6,32,10,20.13
studyroom,2017,8,20,6,33,11,20.13
studyroom,2017,8,20,6,34,12,20.13
studyroom,2017,8,20,6,35,13,20.13
studyroom,2017,8,20,6,36,14,20.13
studyroom,2017,8,20,6,37,15,20.13
studyroom,2017,8,20,6,38,16,20.19
studyroom,2017,8,20,6,39,17,20.19
studyroom,2017,8,20,6,40,18,20.19
studyroom,2017,8,20,6,41,19,20.19
studyroom,2017,8,20,6,42,20,20.13
studyroom,2017,8,20,6,43,21,20.13
studyroom,2017,8,20,6,44,22,20.19
studyroom,2017,8,20,6,45,23,20.13
studyroom,2017,8,20,6,46,24,20.19
studyroom,2017,8,20,6,47,25,20.19
studyroom,2017,8,20,6,48,26,20.19
studyroom,2017,8,20,6,49,28,20.13
studyroom,2017,8,20,6,50,29,20.19
