year,month,day,hour,minutes,seconds,temperature(C)
2017,8,18,23,52,17,21.19
2017,8,18,23,52,27,21.19
2017,8,18,23,52,38,21.19
2017,8,18,23,52,49,21.19
2017,8,18,23,52,59,21.19
2017,8,18,23,53,10,21.19
2017,8,18,23,53,21,21.19
2017,8,18,23,53,31,21.19
2017,8,18,23,53,42,21.12
2017,8,18,23,53,53,21.19
2017,8,18,23,54,3,21.19
2017,8,18,23,54,14,21.19
2017,8,18,23,54,25,21.19
2017,8,18,23,54,35,21.19
2017,8,18,23,54,46,21.19
2017,8,18,23,54,57,21.19
2017,8,18,23,55,7,21.19
2017,8,18,23,55,18,21.19
2017,8,18,23,55,29,21.19
2017,8,18,23,55,39,21.19
2017,8,18,23,55,50,21.19
2017,8,18,23,56,1,21.19
2017,8,18,23,56,11,21.19
2017,8,18,23,56,22,21.19
2017,8,18,23,56,33,21.19
2017,8,18,23,56,43,21.19
2017,8,18,23,56,54,21.19
2017,8,18,23,57,5,21.19
2017,8,18,23,57,15,21.19
2017,8,18,23,57,26,21.19
2017,8,18,23,57,37,21.19
2017,8,18,23,57,47,21.19
2017,8,18,23,57,58,21.19
2017,8,18,23,58,9,21.19
2017,8,18,23,58,19,21.19
2017,8,18,23,58,30,21.19
2017,8,18,23,58,41,21.19
2017,8,18,23,58,51,21.19
2017,8,18,23,59,2,21.19
2017,8,18,23,59,13,21.19
2017,8,18,23,59,23,21.19
2017,8,18,23,59,34,21.19
2017,8,18,23,59,45,21.19
2017,8,18,23,59,55,21.19
2017,8,18,24,0,6,21.19
2017,8,18,24,0,17,21.19
2017,8,18,24,0,27,21.19
2017,8,18,24,0,38,21.19
2017,8,18,24,0,48,21.19
2017,8,18,24,0,59,21.19
2017,8,18,24,1,10,21.19
2017,8,18,24,1,20,21.19
2017,8,18,24,1,31,21.19
2017,8,18,24,1,42,21.19
2017,8,18,24,1,52,21.19
2017,8,18,24,2,3,21.19
2017,8,18,24,2,14,21.19
2017,8,18,24,2,24,21.19
2017,8,18,24,2,35,21.19
2017,8,18,24,2,46,21.19
2017,8,18,24,2,56,21.19
2017,8,18,24,3,7,21.19
2017,8,18,24,3,18,21.19
2017,8,18,24,3,28,21.19
2017,8,18,24,3,39,21.19
2017,8,18,24,3,50,21.12
2017,8,18,24,4,0,21.19
2017,8,18,24,4,11,21.19
2017,8,18,24,4,22,21.12
2017,8,18,24,4,32,21.19
2017,8,18,24,4,43,21.12
2017,8,18,24,4,54,21.12
2017,8,18,24,5,5,21.12
2017,8,18,24,5,15,21.12
2017,8,18,24,5,26,21.12
2017,8,18,24,5,36,21.12
2017,8,18,24,5,47,21.12
2017,8,18,24,5,58,21.12
2017,8,18,24,6,8,21.12
2017,8,18,24,6,19,21.12
2017,8,18,24,6,30,21.12
2017,8,18,24,6,40,21.12
2017,8,18,24,6,51,21.12
2017,8,18,24,7,2,21.12
2017,8,18,24,7,12,21.12
2017,8,18,24,7,23,21.12
2017,8,18,24,7,34,21.12
2017,8,18,24,7,44,21.19
2017,8,18,24,7,55,21.19
2017,8,18,24,8,6,21.19
2017,8,18,24,8,16,21.19
2017,8,18,24,8,27,21.19
2017,8,18,24,8,38,21.19
2017,8,18,24,8,48,21.19
2017,8,18,24,8,59,21.19
2017,8,18,24,9,10,21.19
2017,8,18,24,9,20,21.19
2017,8,18,24,9,31,21.19
